"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.02,20,93,62,0
"2","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.05,50,168,125,0
"3","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.1,100,249,201,0
"4","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.2,200,396,338,0
"5","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.02,20,58,47,0
"6","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.05,50,128,106,0
"7","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.1,100,226,193,0
"8","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.2,200,406,363,0
"9","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.02,20,107,59,0
"10","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.05,50,193,127,0
"11","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.1,100,289,216,0
"12","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.2,200,452,375,0
"13","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.02,20,42,38,0
"14","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.05,50,121,102,0
"15","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.1,100,213,188,0
"16","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.2,200,384,346,0
"17","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.02,20,67,52,0
"18","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.05,50,138,113,0
"19","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.1,100,257,208,0
"20","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.2,200,421,364,0
"21","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.02,20,61,48,0
"22","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.05,50,142,112,0
"23","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.1,100,236,198,0
"24","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.2,200,410,353,0
"25","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.02,20,56,43,0
"26","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.05,50,136,109,0
