"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"58","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.05,50,69,3
"59","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.1,100,141,4
"60","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.2,200,311,5
"61","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.02,20,44,7
"62","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.05,50,104,10
"63","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.1,100,163,7
"64","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.2,200,291,5
"65","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.02,20,29,5
"66","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.05,50,82,5
"67","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.1,100,190,5
"68","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.2,200,315,5
"69","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.02,20,31,4
"70","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.05,50,89,8
"71","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.1,100,160,8
"72","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.2,200,286,4
"73","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.02,20,32,5
"74","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.05,50,91,6
"75","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.1,100,160,6
"76","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.2,200,276,6
"77","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.02,20,42,8
"78","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.05,50,84,5
"79","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.1,100,158,5
"80","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.2,200,299,5
"81","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.02,20,61,8
"82","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.05,50,115,9
"83","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.1,100,201,9
"84","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.2,200,305,8
"85","ml_papapapapa_pp_0.01_022_.mpx","papapapapa","0.01","022",0.02,20,31,4
