"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"58","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.05,50,136,4
"59","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.1,100,213,5
"60","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.2,200,316,4
"61","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.02,20,92,6
"62","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.05,50,133,5
"63","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.1,100,212,4
"64","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.2,200,317,4
"65","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.02,20,90,7
"66","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.05,50,133,6
"67","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.1,100,208,4
"68","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.2,200,302,4
"69","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.02,20,66,5
"70","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.05,50,108,4
"71","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.1,100,181,3
"72","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.2,200,290,3
"73","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.02,20,70,5
"74","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.05,50,144,6
"75","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.1,100,219,6
"76","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.2,200,307,4
"77","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.02,20,79,6
"78","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.05,50,132,6
"79","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.1,100,199,4
"80","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.2,200,303,4
"81","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.02,20,106,6
"82","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.05,50,162,7
"83","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.1,100,234,5
"84","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.2,200,323,4
"85","ml_papapapapa_pp_0.01_022_.mpx","papapapapa","0.01","022",0.02,20,99,6
"86","ml_papapapapa_pp_0.01_022_.mpx","papapapapa","0.01","022",0.05,50,141,6
"87","ml_papapapapa_pp_0.01_022_.mpx","papapapapa","0.01","022",0.1,100,201,5
"88","ml_papapapapa_pp_0.01_022_.mpx","papapapapa","0.01","022",0.2,200,313,4
"89","ml_papapapapa_pp_0.01_023_.mpx","papapapapa","0.01","023",0.02,20,76,6
"90","ml_papapapapa_pp_0.01_023_.mpx","papapapapa","0.01","023",0.05,50,143,6
"91","ml_papapapapa_pp_0.01_023_.mpx","papapapapa","0.01","023",0.1,100,216,5
"92","ml_papapapapa_pp_0.01_023_.mpx","papapapapa","0.01","023",0.2,200,314,4
"93","ml_papapapapa_pp_0.01_024_.mpx","papapapapa","0.01","024",0.02,20,79,6
"94","ml_papapapapa_pp_0.01_024_.mpx","papapapapa","0.01","024",0.05,50,133,5
"95","ml_papapapapa_pp_0.01_024_.mpx","papapapapa","0.01","024",0.1,100,210,5
"96","ml_papapapapa_pp_0.01_024_.mpx","papapapapa","0.01","024",0.2,200,318,5
"97","ml_papapapapa_pp_0.01_025_.mpx","papapapapa","0.01","025",0.02,20,103,5
"98","ml_papapapapa_pp_0.01_025_.mpx","papapapapa","0.01","025",0.05,50,148,5
"99","ml_papapapapa_pp_0.01_025_.mpx","papapapapa","0.01","025",0.1,100,226,4
"100","ml_papapapapa_pp_0.01_025_.mpx","papapapapa","0.01","025",0.2,200,330,5
"101","ml_papapapapa_pp_0.01_026_.mpx","papapapapa","0.01","026",0.02,20,64,5
"102","ml_papapapapa_pp_0.01_026_.mpx","papapapapa","0.01","026",0.05,50,133,5
"103","ml_papapapapa_pp_0.01_026_.mpx","papapapapa","0.01","026",0.1,100,212,5
"104","ml_papapapapa_pp_0.01_026_.mpx","papapapapa","0.01","026",0.2,200,326,5
"105","ml_papapapapa_pp_0.01_027_.mpx","papapapapa","0.01","027",0.02,20,65,5
"106","ml_papapapapa_pp_0.01_027_.mpx","papapapapa","0.01","027",0.05,50,141,5
"107","ml_papapapapa_pp_0.01_027_.mpx","papapapapa","0.01","027",0.1,100,192,5
"108","ml_papapapapa_pp_0.01_027_.mpx","papapapapa","0.01","027",0.2,200,322,5
"109","ml_papapapapa_pp_0.01_028_.mpx","papapapapa","0.01","028",0.02,20,80,6
"110","ml_papapapapa_pp_0.01_028_.mpx","papapapapa","0.01","028",0.05,50,149,5
"111","ml_papapapapa_pp_0.01_028_.mpx","papapapapa","0.01","028",0.1,100,216,5
"112","ml_papapapapa_pp_0.01_028_.mpx","papapapapa","0.01","028",0.2,200,315,4
